label,t,ds,ph,na,k,li,ca,mg,cl,so4,alk,no3,si,b,pco2
trial1,0.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial2,1.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial3,2.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial4,3.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial5,4.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial6,5.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial7,6.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial8,7.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial9,8.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial10,9.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial11,10.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial12,11.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial13,12.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial14,13.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial15,14.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial16,15.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial17,16.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial18,17.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial19,18.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial20,19.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial21,20.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial22,21.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial23,22.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial24,23.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial25,24.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial26,25.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial27,26.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial28,27.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial29,28.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial30,29.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial31,30.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial32,31.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial33,32.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial34,33.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial35,34.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial36,35.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
trial37,36.0,1.0,6.55,84.5,3.3,0.0,2.7,1.3,39.5,0.0,56.2,0.0,0.0,0.0,-2.6989700043360187
